y,x
.0007276,.1184359
.0000455,2.724025
.0000909,3.43464
.0000909,3.671511
.0000455,4.382126
.0000455,4.85587
.0002274,5.092741
.0001364,5.329613
.0000455,5.566485
.0001364,5.803357
.0003638,6.040228
.0002274,6.2771
.0016825,6.750844
.0002728,6.987715
.0001819,7.224587
.0004547,7.461459
.0010004,7.69833
.000864,7.935202
.0015006,8.172073
.0022736,8.408945
.001637,8.645817
.0044108,8.882689
.0123684,9.11956
.0201897,9.356432
.0143692,9.593304
.023782,9.830175
.0300571,10.06705
.0404703,10.30392
.0635247,10.54079
.0993568,10.77766
.1468299,11.01453
.1625632,11.25141
.2791995,11.48828
.7641155,11.72515
.8184093,11.96202
1.030083,12.19889
4.663542,12.43576
12.36295,12.67264
12.86255,12.90951
13.193,13.14638
12.87815,13.38325
10.90329,13.62012
8.433281,13.85699
6.032802,14.09387
4.546633,14.33074
3.834901,14.56761
6.767133,14.80448
