y,x
.0013218,.1161691
.0000287,2.439551
.0000575,4.298257
.0000575,4.530595
.0001149,4.762934
.0000575,4.995272
.0000575,5.22761
.0002299,5.459949
.0002586,5.692286
.0002299,5.924625
.0000575,6.156963
.0002011,6.389301
.003132,6.62164
.0005747,6.853978
.0006896,7.086316
.0011206,7.318654
.0016378,7.550992
.0006609,7.783331
.0017815,8.015669
.0056318,8.248007
.0028159,8.480346
.0031895,8.712684
.0157174,8.945022
.0176713,9.177361
.0172116,9.409698
.0240215,9.642036
.0300269,9.874374
.0359173,10.10671
.067582,10.33905
.1021489,10.57139
.1103667,10.80373
.1679781,11.03607
.2529729,11.2684
.336962,11.50074
1.161308,11.73308
1.301615,11.96542
1.450571,12.19776
6.035374,12.4301
15.19492,12.66243
13.39184,12.89477
12.80513,13.12711
11.45734,13.35945
9.696154,13.59179
7.764003,13.82412
5.396822,14.05646
3.974467,14.2888
3.388785,14.52114
2.22719,14.75348
3.551993,14.98582
